pair,lambda,beta,seed,parent,blocks,steps,images,selected,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b0002,0.7,0.002,202,/scratch/yz54720/RSI2RSD/C4/parent15_o_20260924/results/l07_b0002/seed202_job48515962/parent,15,1410,90000,29827,2.5186886255711336,1.0536232331201152,3.2449031314232086,3.058003109864721,1.1458784259832542,4.0058192889838,3.1251670055227847,1.390618283893495,3.98496101147292,2.3475277544037323,0.6121198983960997,3.207747622469807,2.8929256280988533,0.7187492470754291,3.970637540697289,2.970595344156955,1.0161127004208044,3.9394078317297625
l07_b0002,0.7,0.002,303,/scratch/yz54720/RSI2RSD/C4/parent15_o_20260924/results/l07_b0002/seed303_job48515983/parent,15,1410,90000,29006,2.5705622760313807,1.0418627450336924,3.2975429396395834,3.126464499918077,1.1363133935018355,4.072890754840037,3.094197952398007,1.3209966659748602,3.9374526416131728,2.4039134097120973,0.6017571846302536,3.2609377639883155,2.9665343093583108,0.7113180960246648,4.039013593942957,2.9414292250706224,0.9422970325567714,3.8921264801458153
l07_b0002,0.7,0.002,404,/scratch/yz54720/RSI2RSD/C4/parent15_o_20260924/results/l07_b0002/seed404_job48516008/parent,15,1410,90000,29142,2.5696094206493445,1.0630782628292605,3.2910154971091767,3.1093417236365624,1.1557624015674182,4.044817891169805,3.1309324376606815,1.3612955175232337,3.978327342630367,2.3947558400233464,0.6176579956975226,3.245723426525433,2.9435411020967646,0.7251155740152081,4.005839513798641,2.9787089145346637,0.9825573484368775,3.9345709037426966
l07_b0002,0.7,0.002,505,/scratch/yz54720/RSI2RSD/C4/parent15_o_20260924/results/l07_b0002/seed505_job48516031/parent,15,1410,90000,30972,2.4467917389275744,1.0121499749181226,3.199548476660524,2.9755800225576934,1.1039435398831303,3.9576279513609065,3.0382321930881253,1.3425531605187053,3.9279552227814953,2.274121166543437,0.5792353045201127,3.1634280195383946,2.8101416524314784,0.6850356110469238,3.9251850947599043,2.887173095524422,0.9782640714798911,3.888777932088545
l07_b0002,0.7,0.002,606,/scratch/yz54720/RSI2RSD/C4/parent15_o_20260924/results/l07_b0002/seed606_job48515961/parent,15,1410,90000,30887,2.439679589950723,1.0251124000296152,3.1788018946061016,2.983263318826413,1.117520595350526,3.9581283315985583,3.0236436279419743,1.3258868977510565,3.910734659109521,2.2672306583344013,0.586950813240379,3.1451898817779553,2.817859281642355,0.6939526474370277,3.927616935808105,2.8708682428953676,0.9571975507228566,3.8707759902458974
