pair,lambda,beta,seed,block,domain,batch,images,selected,unselected,coverage,updated,confidence_mean,original_selected_proxy_pre,original_selected_proxy_post,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b0001,0.7,0.001,202,1,gaussian_noise,10,64,22,42,0.34375,True,0.7459681034088135,2.214853286743164,1.595661997795105,3.2803131797606184,2.2148533145631997,3.838411204387838,3.409489543403141,2.300414415483334,3.990433658027801,4.001446769970848,2.9665250656776547,4.543548615076806,3.1360994891926315,1.5956619982037301,3.942995317805866,3.2220180352939316,1.7201262670937256,4.008723247208325,3.946194280191478,2.7076369985283044,4.5949623801102835
l07_b0001,0.7,0.001,202,1,gaussian_noise,11,64,27,37,0.421875,True,0.784243106842041,2.6485962867736816,2.1340954303741455,3.0172528827514524,2.6485961466425896,3.2862726631552173,3.2309940732604843,2.674451532050235,3.6371197114409366,4.348230026645869,3.7099308890827074,4.814015883786552,2.7934674618441413,2.1340957441272383,3.2746306072051254,2.9696033853868338,2.159452308377608,3.5607947118530268,4.00536722496285,3.235617059525277,4.567076805147025
l07_b0001,0.7,0.001,202,1,gaussian_noise,12,64,23,41,0.359375,True,0.7208293676376343,2.850454330444336,1.8092392683029175,3.3316413880680518,2.850454394146546,3.6015755553898727,3.5406632459337124,2.8871699780639593,3.907257030348452,4.576318328443991,3.886921450706025,4.963053162296997,2.961382894057688,1.8092393344304052,3.6077073299461637,3.1231262813528957,1.8680843483033935,3.8271741950148117,4.319470794676245,3.496702412430381,4.781023789594657
l07_b0001,0.7,0.001,202,1,gaussian_noise,13,64,23,41,0.359375,True,0.7342178821563721,2.6407151222229004,2.0180673599243164,3.4062222735300067,2.640715254330651,3.835653040397938,3.5174054661059975,2.7007622478254674,3.975522393434099,4.143545875536661,3.5299234907969352,4.48777306697602,3.273408596538487,2.0180675315674064,3.977624315912507,3.3326212823892263,2.0782301070286606,4.036304136859787,4.056938178273397,3.190989160623093,4.54271445646747
l07_b0001,0.7,0.001,202,1,gaussian_noise,14,64,22,42,0.34375,True,0.7064076662063599,3.769519567489624,2.465003490447998,3.860041761991062,3.76951952507911,3.9074581718020847,4.111159343502604,3.7668368152285807,4.291518763074712,4.7272258721515135,4.101021782671409,5.0552375380696635,3.24618888765762,2.465003081830068,3.6553814526149093,3.41176788334214,2.4934317955669054,3.892801072176787,4.003907041886844,3.114547091938235,4.469762253764687
l07_b0001,0.7,0.001,202,1,gaussian_noise,15,64,24,40,0.375,True,0.7006797194480896,2.807088613510132,2.4305310249328613,3.634468234863881,2.8070885851789846,4.1308960246748185,3.718392525039915,2.867481061863183,4.228939402945953,4.7133251878980005,3.9018674017051196,5.200199859613728,3.4185103733308404,2.4305308858846675,4.011298065798544,3.530801292155917,2.492078292348879,4.15403509204014,4.678905948529186,3.7945197147299896,5.2095376888087035
l07_b0001,0.7,0.001,202,1,gaussian_noise,16,64,32,32,0.5,True,0.7908978462219238,2.9481360912323,2.7562367916107178,3.2425560023876003,2.94813616724875,3.53697583752645,3.3500948120218967,2.965030185315382,3.7351594387284113,4.110661662871307,3.7398335916195453,4.481489734123068,3.087375535834314,2.756236354312713,3.418514717355915,3.1890298941261292,2.769807741097733,3.6082520471545267,4.010876403889585,3.629770664223323,4.391982143555847
l07_b0001,0.7,0.001,202,1,gaussian_noise,17,64,24,40,0.375,True,0.7403061389923096,2.9274494647979736,2.3448314666748047,3.307991588807675,2.9274493393525702,3.536316938480738,3.391154284409071,2.9281198334163876,3.668974955004681,4.325075851607146,3.873115915156923,4.596251813477281,3.0783665846781374,2.3448315213528774,3.5184876226732933,3.1579100033307537,2.3569029075229504,3.638514260815436,4.365585406291489,3.775424587037539,4.7196818978438575
l07_b0001,0.7,0.001,202,1,gaussian_noise,18,64,18,46,0.28125,True,0.7163785696029663,3.2563867568969727,2.6823008060455322,3.5277576934880606,3.256386587540197,3.633946387119832,3.5469475233273497,3.275198695322108,3.6532840212424444,3.9773927673362457,3.8471942489543434,4.028340013659598,3.3350237876240287,2.6823007919903534,3.590437133741554,3.368322654190613,2.7216630035401694,3.6213633870538295,4.004198397097004,3.6199025304962467,4.1545750405494735
l07_b0001,0.7,0.001,202,1,gaussian_noise,19,64,23,41,0.359375,True,0.7091201543807983,2.7419729232788086,1.868219017982483,3.387457436371979,2.741972658570941,3.749558653187195,3.470135531081217,2.748768202922449,3.874805007853209,4.856449497440981,4.0024139456272,5.335542611873102,3.075539861385849,1.8682191299522088,3.7528173448730127,3.162770587377295,1.8936280831222905,3.874728577569127,5.073327025488041,3.919464772413739,5.7206156064809415
l07_b0001,0.7,0.001,202,1,gaussian_noise,20,64,21,43,0.328125,True,0.7256885766983032,3.8895528316497803,2.867358922958374,3.7472514330139206,3.8895525814714103,3.6777555233021233,3.8579965418288196,3.899163156545458,3.837891916036973,5.286006494555371,4.812132160881509,5.517433494721677,3.3336182297640518,2.8673588850869187,3.561326281815675,3.4724530711082036,2.893874265314893,3.7550148134723784,4.875246711176824,4.089518276267309,5.2589745514814705
l07_b0001,0.7,0.001,202,1,gaussian_noise,21,64,18,46,0.28125,True,0.7173817157745361,2.2704851627349854,1.6406464576721191,3.3011119720369533,2.270485034650193,3.7044007736230764,3.3282595007639646,2.297735091768187,3.731508182544921,5.058879023146066,4.384076796288913,5.322932068437995,3.177558644921172,1.6406464640226353,3.778959063533642,3.2465867727474698,1.6908761650635888,3.8553430974933365,5.318438498535196,4.344945408959493,5.699370577064817
l07_b0001,0.7,0.001,202,1,gaussian_noise,22,64,21,43,0.328125,True,0.6805373430252075,2.2419424057006836,1.792999267578125,3.160329949860463,2.2419426176974357,3.6088446934749645,3.258361574148032,2.2717977540280585,3.7401718118810425,4.625374698393282,4.021665900512171,4.920209227591033,3.07506589876325,1.79299932428091,3.7011914351383455,3.2140506918150544,1.8344007611537936,3.887833216091484,4.6508564436186575,3.874636897665013,5.0299404079216
l07_b0001,0.7,0.001,202,1,gaussian_noise,23,64,25,39,0.390625,True,0.7515257000923157,1.6737443208694458,1.1034375429153442,3.258745619605561,1.6737444164890596,4.274772031859728,3.2816042071981038,1.7181061081604292,4.2838465783761,5.458232245291965,5.253460889114792,5.5894959351491265,3.0360159329695833,1.1034373009299552,4.274848389405243,3.060127012032656,1.1595472942293354,4.278447343957861,5.34153232053837,5.0985383463000575,5.497297688639853
l07_b0001,0.7,0.001,202,1,gaussian_noise,24,64,25,39,0.390625,True,0.7091189622879028,1.249820590019226,0.3497573137283325,2.531252320608429,1.2498207577840847,3.3526828095983934,2.824674133497148,1.2941281348859004,3.8057933633761527,5.485707898173088,3.7455023261682556,6.601224290483879,2.1938432644429886,0.3497573511367725,3.37594961912646,2.516240522621512,0.4312571018771687,3.8527683564319894,5.50802712777397,3.7925079837506694,6.607718886763266
l07_b0001,0.7,0.001,202,1,gaussian_noise,25,64,20,44,0.3125,True,0.6892430782318115,3.027233839035034,1.8611723184585571,3.272989483482035,3.027233931869774,3.384696552396699,3.7821565598913374,3.052501298762149,4.113818042222786,5.289517704387492,4.360555139631538,5.711773415640198,2.815880168721912,1.8611725955727898,3.249838156516968,3.313306448892579,1.9263705092027787,3.943731876024307,4.576497057014046,3.1160398028317298,5.240341263460554
l07_b0001,0.7,0.001,202,1,gaussian_noise,26,64,19,45,0.296875,True,0.7130414843559265,1.4732729196548462,0.9844545125961304,3.129343288744675,1.4732730164949162,3.8285729592501285,3.3839145270900466,1.5170881478902531,4.172130109418848,4.247752860710133,2.3558839100581364,5.046541973207642,3.150628424780307,0.9844544229666914,4.065235225546056,3.409483105303232,1.0496220986609741,4.405868863663297,4.36146590329693,2.315538040679014,5.225302111957829
l07_b0001,0.7,0.001,202,1,gaussian_noise,27,64,31,33,0.484375,True,0.759219229221344,2.7092158794403076,1.7930961847305298,3.4175097814311863,2.709216550409796,4.082876149966432,3.561561052157725,2.7658792156063328,4.309019747099942,4.643531498777342,3.956789885494019,5.288652408225315,2.799453594489017,1.7930963995212066,3.744819444307262,2.9412452221568133,1.8781705414584036,3.939891134328047,3.9490107337478486,3.087171431916908,4.758617350619338
l07_b0001,0.7,0.001,202,1,gaussian_noise,28,64,23,41,0.359375,True,0.7349022626876831,1.684787392616272,1.1850486993789673,2.9566498229820404,1.68478746940559,3.6701335823054153,3.174378463941416,1.7132870961993456,3.994015084869894,4.262494940527727,2.89486886789268,5.0296998105425095,2.8554201993995236,1.185048724134548,3.7924578562554854,3.0687489775144288,1.221040218951727,4.105268525000823,4.40573090460588,2.821174248865334,5.294628540753016
l07_b0001,0.7,0.001,202,1,gaussian_noise,29,64,19,45,0.296875,True,0.7048940658569336,2.7529208660125732,1.8528656959533691,3.4298211564221335,2.7529206121641265,3.71562360844218,3.683379889760012,2.7876695518605503,4.06156869909534,3.8192071897121993,2.7179575925797717,4.284179241834779,3.0886962910623152,1.852865791971979,3.6104913906782348,3.3043264021889067,1.915093652957707,3.890891340753191,3.2202758042582174,1.7259758502482558,3.8512024515068672
l07_b0001,0.7,0.001,202,1,gaussian_noise,30,64,17,47,0.265625,True,0.6595032215118408,4.440903186798096,2.724942922592163,4.611040332631633,4.440903720005592,4.672579107411265,4.8829190866726115,4.464966241156407,5.034093520157195,6.237121979750187,5.484977056708527,6.509174398722702,3.6202581881537244,2.7249427943078928,3.9440956710341317,3.8325888884660264,2.7735571999410977,4.2156429034644045,4.385760004037633,3.601544304057782,4.669412491264388
l07_b0001,0.7,0.001,202,1,gaussian_noise,31,64,19,45,0.296875,True,0.7108293771743774,2.8514740467071533,2.3470823764801025,3.751482405330073,2.8514742444863628,4.13148585101964,3.842106340024002,2.872430581712391,4.251524993533349,4.0245022945687134,3.0684217210620037,4.428180758938213,3.6244117029220635,2.3470824926187035,4.1637284806057036,3.7079618603727544,2.3775155193319844,4.269705871034414,3.7085835011623405,2.6456656629197393,4.157371032864772
l07_b0001,0.7,0.001,202,1,gaussian_noise,32,64,28,36,0.4375,True,0.7593737840652466,3.1106791496276855,2.2270374298095703,3.5617384391628075,3.1106790404178293,3.9125624159644565,3.7665893502691734,3.1273299158338412,4.263791132607766,3.78143933668275,3.669854987300622,3.8682271639799604,3.0286854782364436,2.227037507884433,3.652189455176897,3.2584614754596344,2.2588036789386137,4.035973094975983,3.4466799410340947,2.954464849859704,3.8295139008363983
l07_b0001,0.7,0.001,202,1,gaussian_noise,33,64,24,40,0.375,True,0.7194932103157043,3.301607847213745,2.0432865619659424,3.796114084869677,3.301607374371875,4.0928181111683575,3.879521453205485,3.3311092787699366,4.208568757866814,3.3108410481131236,2.7073360656294114,3.672944037603351,3.100997570882149,2.043286784498543,3.7356240427123124,3.1775202605750845,2.114209014125391,3.8155070084449014,3.509775312597461,2.9400343171096353,3.8516199098901565
l07_b0001,0.7,0.001,202,1,gaussian_noise,34,64,26,38,0.40625,True,0.7182660698890686,2.351166248321533,1.9213935136795044,3.1748560127749035,2.351166433117314,3.7384330935932546,3.3535517108638384,2.372595941129702,4.0247319743661425,4.106865212059852,3.5419399333901747,4.493393034307527,2.9481121796080547,1.9213934516319,3.6506039408548983,3.218379798690771,1.9653808577106369,4.075694863571915,4.482110310632473,3.6248204850591432,5.068677033393173
l07_b0001,0.7,0.001,202,1,gaussian_noise,35,64,17,47,0.265625,True,0.6911823749542236,2.3024723529815674,1.4544768333435059,3.4184914609858814,2.302472131616191,3.8221580269281104,3.7224718345722723,2.3469533023273508,4.219999814320436,4.758978126736968,3.634675637396082,5.165640729264523,3.333169457596717,1.4544767485012222,4.012696607695088,3.667156919350705,1.5199157931400136,4.443818603299253,4.848397071101693,3.1801175713605936,5.451817315688899
l07_b0001,0.7,0.001,202,1,gaussian_noise,36,64,21,43,0.328125,True,0.7188393473625183,2.3703486919403076,1.8753869533538818,3.190264059233127,2.3703486303789405,3.5906878733247063,3.4965744732540927,2.434947261589009,4.015043576625413,4.577353640025362,3.688304244224811,5.011540554253538,3.0900305162303288,1.8753869435619468,3.6832285400916316,3.390560764443459,1.9578893613536372,4.090237496185,4.374438665772615,3.2898047284003966,4.904143611931142
l07_b0001,0.7,0.001,202,1,gaussian_noise,37,64,21,43,0.328125,True,0.7317125797271729,2.339879274368286,1.8145148754119873,3.479398841598829,2.3398794818458644,4.035908296361905,3.5893497402909875,2.3627074626506483,4.188407596813013,4.414002981088068,3.353045588728414,4.932144963403246,3.300857466235601,1.8145148203222305,4.026745735170038,3.3914531468400977,1.8418572013293508,4.1482325620895315,4.241124729390566,2.855735465432043,4.917710183881938
l07_b0001,0.7,0.001,202,1,gaussian_noise,38,64,14,50,0.21875,True,0.6089553833007812,2.9905142784118652,1.5090372562408447,3.6552794561002626,2.990513945547658,3.8414137990549917,3.9772511428709576,3.029161446287006,4.242716257914465,4.711603415243164,3.9513542548525082,4.924473180152547,3.3567892134000914,1.5090373564653594,3.874159733341817,3.671933124456193,1.5736035780575477,4.259465397447814,4.588340876826309,3.1154308501773076,5.000755684288029
l07_b0001,0.7,0.001,202,1,gaussian_noise,39,64,19,45,0.296875,True,0.6871400475502014,3.291447401046753,1.7194119691848755,4.151947388495973,3.2914472753488093,4.515269658491444,4.0354802318038026,3.3379378497468735,4.32999812645006,4.788015617710261,3.93151558365204,5.149648965423735,3.2777165450731647,1.7194121532437252,3.935667288290039,3.1947792561215156,1.7957439353831623,3.785483058211042,4.075190513516393,2.766174964753912,4.6278859674383295
l07_b0001,0.7,0.001,202,1,gaussian_noise,40,64,24,40,0.375,True,0.72775799036026,3.253589391708374,3.086629629135132,3.3634845406985994,3.253589296621866,3.4294216871446395,3.454120466728452,3.2590099390218903,3.571186783352389,4.525093941519051,4.563386968400614,4.502118125390115,3.432074387398594,3.086629786217646,3.639341148107163,3.4462789761782697,3.091739624109202,3.659002587419711,4.483385845161088,4.464222329823361,4.494883954363726
l07_b0001,0.7,0.001,202,1,gaussian_noise,41,64,17,47,0.265625,True,0.6777945756912231,2.51401424407959,2.1167619228363037,3.563231020606972,2.514013890569731,3.942735088918315,3.696477680939483,2.5336367734292105,4.117079711315539,4.798536546900786,3.4582872247854,5.283307578304224,3.6216544872592804,2.116761652187527,4.165977427604383,3.8190545310958157,2.1443821043545235,4.424787110980964,5.095093516211551,3.3251024583071094,5.735303047794009
l07_b0001,0.7,0.001,202,1,gaussian_noise,42,64,21,43,0.328125,True,0.7245672345161438,3.2992005348205566,2.8602957725524902,3.6613612530394564,3.299200095052157,3.83823065577744,3.7339343299898964,3.302007563011248,3.9448753092120272,5.254786714334285,4.700880970000857,5.525298822032005,3.425773128363761,2.8602955259132563,3.7019366086302865,3.519440309145856,2.861933266231329,3.840548399871555,5.015711837002999,4.2616075780524705,5.38399531230442
l07_b0001,0.7,0.001,202,1,gaussian_noise,43,64,18,46,0.28125,True,0.6973791122436523,3.771392345428467,2.7845020294189453,3.894332617496998,3.771391822398701,3.9424398851441573,4.002476398336563,3.7982828755083977,4.082378211617151,4.80323079869167,4.124518275427487,5.06881395996896,3.342981466045008,2.7845019692763335,3.561516921302315,3.4355384763476877,2.8186932618187828,3.6769126907285634,4.126420426862883,3.232682571932804,4.476143935313783
l07_b0001,0.7,0.001,202,1,gaussian_noise,44,64,16,48,0.25,True,0.6607719659805298,3.199032783508301,2.6427857875823975,3.7663087863069222,3.199032894134685,3.9554007503643347,3.6954461475468188,3.2142607153013136,3.8558412916286535,4.879451710282751,4.190978977628216,5.108942621167596,3.3171836928856138,2.6427857050345445,3.5419830221693034,3.3287553330886026,2.662794274890758,3.550742352487884,4.32069421944167,3.3263896921322846,4.6521290618781315
l07_b0001,0.7,0.001,202,1,gaussian_noise,45,64,24,40,0.375,True,0.7357699871063232,2.1037585735321045,1.6301612854003906,3.2410731633089194,2.103758554724339,3.9234619284596675,3.2329604044020845,2.122022542466824,3.8995231215632407,3.5839006239210898,2.4696232606395916,4.252467041889989,2.980861836542567,1.6301611424251927,3.791282253012992,3.0304602625195765,1.6643027035637943,3.8501547978930453,3.3958785268989913,2.168653217282348,4.132213712668977
l07_b0001,0.7,0.001,202,1,gaussian_noise,46,64,23,41,0.359375,True,0.7140685319900513,1.9494049549102783,1.4505661725997925,3.0263454407335924,1.9494051515950914,3.630482676103971,3.06553446669285,1.985330690729468,3.671502438574747,3.7503890437305634,2.7124977105880372,4.332620767200762,2.9898138258684117,1.4505660632603925,3.8532942780631534,3.0208338989871075,1.5202194715619242,3.8626419924207473,3.7491052580260362,2.4861418625804474,4.457596918885756
l07_b0001,0.7,0.001,202,1,gaussian_noise,47,64,20,44,0.3125,True,0.688166618347168,2.1591367721557617,1.3987170457839966,3.345106113307364,2.1591368477839707,3.8841830521816334,3.3314260138718756,2.1946889408570196,3.8481246834240825,4.014705634863302,3.027350474526334,4.463503435016469,3.198231440390768,1.3987169325035798,4.01619258033949,3.2038754338442703,1.4664617995487301,3.993608903978607,3.8400952479609574,2.482906908510326,4.456999038620335
