pair,lambda,beta,seed,parent,blocks,steps,images,selected,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b00005,0.7,0.0005,202,/scratch/yz54720/RSI2RSD/C4/sweep_yingchuan_20260923/results/l07_b00005/seed202_job48497634/parent,15,1410,90000,35567,2.452923292422726,1.1909779099025757,3.277489482419505,2.8636032602484796,1.2669465907765234,3.9068727431560655,2.8746732429079476,1.527782729530513,3.7547433270351345,2.258817280794468,0.7575680004862068,3.2397467381590035,2.676565502136097,0.8464053702441616,3.8724081970270796,2.716815425022826,1.1860320000188647,3.7170427517752667
l07_b00005,0.7,0.0005,303,/scratch/yz54720/RSI2RSD/C4/sweep_yingchuan_20260923/results/l07_b00005/seed303_job48497635/parent,15,1410,90000,34973,2.478426099161469,1.1725178231814615,3.3084101094809286,2.893882077648503,1.2506824413975868,3.938235229348641,2.8578834829572988,1.4772029354713332,3.735389812345172,2.2836282148495144,0.740825488290891,3.264173033864442,2.707409816486636,0.8324992017466497,3.8990293656043744,2.6948685405925894,1.1328954177186863,3.687597310583117
l07_b00005,0.7,0.0005,404,/scratch/yz54720/RSI2RSD/C4/sweep_yingchuan_20260923/results/l07_b00005/seed404_job48497636/parent,15,1410,90000,35832,2.4011682002932995,1.1376261049545981,3.236998217280755,2.8225183740010205,1.21475207870745,3.8860518604313703,2.821081650786461,1.4692741107641654,3.715299044341304,2.207863595656714,0.712602589180307,3.1969751076945045,2.6373031308821595,0.8028068197201776,3.850817970299466,2.665592767339805,1.1359042961766754,3.6774779633728407
l07_b00005,0.7,0.0005,505,/scratch/yz54720/RSI2RSD/C4/sweep_yingchuan_20260923/results/l07_b00005/seed505_job48505641/parent,15,1410,90000,35812,2.401588411936309,1.1320021592816647,3.2406380701644855,2.8155535066975435,1.2089789416763603,3.87731345950145,2.837701340785296,1.481717153160024,3.7338500402618635,2.2087282032023725,0.7074900328404032,3.2008729835412426,2.6303285715081115,0.7974363867513395,3.8416582924889457,2.6815418090760432,1.152824920059949,3.691846843944357
l07_b00005,0.7,0.0005,606,/scratch/yz54720/RSI2RSD/C4/sweep_yingchuan_20260923/results/l07_b00005/seed606_job48497633/parent,15,1410,90000,35886,2.3898985765085152,1.1205107895752868,3.2317001458230408,2.808690416087097,1.1981283304843013,3.876743618658382,2.8051878333643265,1.4611173786540492,3.6965156290869445,2.197963662240785,0.6981350133140608,3.192583370548882,2.6242742678525484,0.788762977004611,3.841503786708466,2.6500853303096763,1.135281550652826,3.654635879830427
