pair,lambda,beta,seed,block,domain,batch,images,selected,unselected,coverage,updated,confidence_mean,original_selected_proxy_pre,original_selected_proxy_post,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b00005,0.7,0.0005,202,1,gaussian_noise,0,64,24,40,0.375,True,0.7447217702865601,1.9374676942825317,0.7075977325439453,2.957342479587193,1.937467885209572,3.569267236213766,3.4431843443131447,2.0684791129008873,4.268007483160498,4.623171563935127,2.8179923839305356,5.706279071937881,2.514912149735865,0.707597828933603,3.5993007422172227,2.6858482468504525,0.8704390014981854,3.775093794061813,5.5439029180103905,4.848588895516104,5.961091331506962
l07_b00005,0.7,0.0005,202,1,gaussian_noise,1,64,22,42,0.34375,True,0.7279044389724731,2.4282267093658447,2.0756912231445312,4.147599427716922,2.428227222545375,5.0482229637591605,4.248331968362315,2.5339521156721543,5.146340462628589,6.545332260680733,4.487775886367462,7.623099885321018,4.089108148900965,2.075691059437561,5.143755195762749,4.1113884915224155,2.141072772087183,5.143458630274204,5.505249829342761,3.7998049403482175,6.3985781045303805
l07_b00005,0.7,0.0005,202,1,gaussian_noise,2,64,23,41,0.359375,True,0.755268394947052,4.784255504608154,4.314269542694092,5.430312406305918,4.784255243579941,5.792734717103415,5.647844843267395,4.78100617892361,6.134120191557812,6.852654195221136,6.67114903298535,6.954474164280236,4.673365067377421,4.314269726868791,4.874808794979826,4.826931414285829,4.347718214522646,5.0957583312261505,5.316337158808569,5.542236860816804,5.18961293573078
l07_b00005,0.7,0.0005,202,1,gaussian_noise,3,64,22,42,0.34375,True,0.6996455192565918,4.110993385314941,1.9446362257003784,4.180139185163326,4.1109934105022035,4.21635840046201,4.469342773856132,4.089301047862677,4.668412249376514,4.957302091644279,3.9107881386079217,5.505476067044277,3.020505137046025,1.9446361972988522,3.584055534056449,3.12766615125398,1.9465391398441887,3.746351728659108,3.9228967248811797,2.6575895047107396,4.58567669735141
l07_b00005,0.7,0.0005,202,1,gaussian_noise,4,64,22,42,0.34375,True,0.7462204694747925,3.041455030441284,2.5231587886810303,3.55012329591029,3.0414548834052253,3.8165686548415145,3.59040936768211,3.072443233525148,3.861724961764328,4.421277033124917,3.7737655347834225,4.760449722732366,3.2549503091902956,2.5231588778523024,3.6382696303673407,3.3394750233909916,2.5657184081004214,3.7447761075908144,4.3173603386565595,3.553370780329827,4.7175453453991345
l07_b00005,0.7,0.0005,202,1,gaussian_noise,5,64,17,47,0.265625,True,0.7146906852722168,3.0534489154815674,2.4395501613616943,3.451953798504621,3.053448950408451,3.596093849943661,3.5714665116885502,3.0514348464162357,3.759563071467899,4.083378978045732,3.605277286598226,4.256309377079936,3.1936026202866024,2.4395500574291873,3.4663450366392845,3.3184828002942197,2.447647528865797,3.633465770810884,4.0316450866785285,3.2591459944984735,4.311059651935143
l07_b00005,0.7,0.0005,202,1,gaussian_noise,6,64,20,44,0.3125,True,0.739165186882019,2.863774299621582,2.466533899307251,3.421948328830642,2.8637744973413115,3.6756637067803366,3.5576360290835027,2.90332912575879,3.8550482578674634,4.174215541524919,4.1667663977480895,4.177601515968933,3.2583919418657277,2.4665336685741073,3.6183275206346455,3.3614274078566084,2.483530182464522,3.7604716012166466,3.895030463664614,3.502497756716026,4.073454421368518
l07_b00005,0.7,0.0005,202,1,gaussian_noise,7,64,22,42,0.34375,True,0.7051547169685364,2.5354220867156982,1.7527066469192505,3.3463762695795523,2.535421941352333,3.771161870079525,3.4072321952263125,2.575101022959626,3.8431104283183855,4.031686237653405,4.035723748455166,4.029571351042959,2.990260985027645,1.7527068147359777,3.6385036456566135,3.0752796595404726,1.822628346521622,3.73143034731225,3.9405450877118806,3.7852407548331253,4.021894976362658
l07_b00005,0.7,0.0005,202,1,gaussian_noise,8,64,18,46,0.28125,True,0.7328998446464539,2.855299949645996,1.996558666229248,3.644418628310679,2.8552996863859983,3.9532043012377285,3.754428088973179,2.8698444743980516,4.100569503372142,4.308448882314271,3.5828240808658887,4.5923890220114645,3.3489644787290804,1.9965586790097873,3.8781667481844555,3.509138271532776,2.029778079095759,4.088018346834217,4.45798699609751,3.4318775844560516,4.859508070218081
l07_b00005,0.7,0.0005,202,1,gaussian_noise,9,64,17,47,0.265625,True,0.6876288652420044,3.1830906867980957,2.2160863876342773,3.7721339602326074,3.183090699747097,3.98519216083375,3.8822565011221877,3.2051813669967437,4.127156017720752,4.57593376798148,3.449844152851032,4.983242777709517,3.6021448027526164,2.2160865555502824,4.103485019825802,3.7924950588996262,2.2633563057122412,4.345587799414212,5.148315771431396,3.8436087041804807,5.6202310936285365
