pair,lambda,beta,seed,block,domain,images,selected,coverage,student_audit_pre_ce,student_audit_post_ce,teacher_audit_pre_ce,teacher_audit_post_ce,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b00015,0.7,0.0015,202,11,brightness,6000,2962,0.49366666666666664,2.477365016937256,1.9474796056747437,1.2337181568145752,1.224286675453186,1.7385707134172406,0.6743611423113481,2.776157530275586,2.2176398689504997,0.7554412694923127,3.6432594382708245,2.2748006912671115,0.9327139201295089,3.583313204798903,1.585109705783343,0.3954062805513554,2.745050965012159,2.0718124053848643,0.4840717808809156,3.6198333829295306,2.1366259261057645,0.6768443578131951,3.5598889298195866
l07_b00015,0.7,0.0015,202,12,contrast,6000,1470,0.245,2.985736608505249,3.742769241333008,2.1418075561523438,1.9140897989273071,3.0465723543170884,1.1695790404856372,3.65566289986504,3.6566226616939597,1.2897480885960844,4.424681297997244,3.4121876773097592,1.4896131803322972,4.036069467719663,2.8801806722282763,0.5871647428574375,3.6242719340770915,3.4984174094806417,0.7310962846997048,4.396422277787042,3.253713186995299,0.977588916896118,3.9923230494778155
l07_b00015,0.7,0.0015,202,13,elastic_transform,6000,2262,0.377,4.240645885467529,2.3568620681762695,1.6374218463897705,1.6581268310546875,2.2463802721043593,0.9264894047753655,3.045094328256899,2.7821271345442917,1.0244170117564106,3.84578157481882,2.857523797114102,1.1943015353643796,3.8640001898583174,2.056384774225465,0.5036691170063364,2.9959895940835874,2.6000490000606016,0.6142344866470312,3.801737718450516,2.6889175200971573,0.8141844285422555,3.8233868226913756
l07_b00015,0.7,0.0015,202,14,pixelate,6000,1043,0.17383333333333334,2.4839441776275635,3.3728010654449463,2.2568936347961426,2.1388213634490967,2.9069726341167255,1.0263689631223452,3.3026695533919224,3.719797370006568,1.1546782051279172,4.259522867075043,3.5973975028902405,1.5939561971807523,4.018940630155725,2.7658794986270787,0.46174483543097794,3.2506913714762895,3.581358720349726,0.6136360065777201,4.20579583765136,3.500506468457446,1.1953518123459892,3.9855329575283043
l07_b00015,0.7,0.0015,202,15,jpeg_compression,6000,2144,0.35733333333333334,3.417799234390259,2.745286226272583,1.744753360748291,1.752676248550415,2.0907142000894368,0.7307120836796992,2.8468979494624844,2.701960998966525,0.8429410655695816,3.7356069370378555,2.7107941029050693,1.0217781097524052,3.6499150285584174,1.9589710360581942,0.4067770561229254,2.8220166514578873,2.5808639142839924,0.5293572600384328,3.721535663947501,2.5935253676250993,0.7381402214396399,3.625150303678426
l07_b00015,0.7,0.0015,303,1,gaussian_noise,6000,1658,0.2763333333333333,5.527081489562988,4.506645679473877,5.527081489562988,3.3151400089263916,3.607477129450348,2.840136756137614,3.900487341093031,3.760774093376864,2.872127851394057,4.100105154917055,4.489115116009653,3.6116599354588623,4.824172851927023,3.3457619995211876,2.0695072383610653,3.833102025777171,3.5005890438879925,2.125117363627963,4.025815217511008,4.3024766592859285,3.1879828785166207,4.728047983218569
l07_b00015,0.7,0.0015,303,2,shot_noise,6000,1390,0.23166666666666666,4.419089317321777,3.8625130653381348,2.9540531635284424,2.4531140327453613,3.302418352686915,1.9435449504604185,3.7121437386077023,3.644652454585008,2.0087897144360594,4.137895233068092,3.9128184742284544,2.4202756470701576,4.36284765638681,3.075441989034937,1.1700182643793051,3.649962374560172,3.4254710225421703,1.2598516556884627,4.078445191723657,3.716481765664045,1.837310231611058,4.283086631680024
l07_b00015,0.7,0.0015,303,3,impulse_noise,6000,2374,0.39566666666666667,3.8597571849823,2.3964619636535645,1.3916056156158447,1.3000445365905762,2.7690960481873255,1.6808030706055095,3.4816188084684154,3.0688529299584424,1.7357693846034443,3.9416439770275984,3.016020065794327,1.8002057469876718,3.8120330809203615,2.5249557314929865,1.1287772904865099,3.4390560125049485,2.829427236187169,1.1975940505642966,3.8978144349374992,2.787056223126974,1.2920106521446046,3.7658863901187414
l07_b00015,0.7,0.0015,303,4,defocus_blur,6000,2808,0.468,2.624650001525879,1.9930182695388794,1.1025232076644897,1.0670599937438965,2.0972807824444857,0.9600809518281068,3.0976746184002493,2.476044251750575,1.0303331527699682,3.747835218522985,2.4155387725630675,1.1401880968663307,3.537463803063207,1.87537178078956,0.5501710338582155,3.041149881473524,2.2677442672216648,0.6322477424356041,3.7064893303793265,2.210630324853221,0.7576541480712217,3.488812375105055
l07_b00015,0.7,0.0015,303,5,glass_blur,6000,1544,0.25733333333333336,2.9941341876983643,4.237008571624756,1.9630470275878906,1.91724693775177,2.9426090062066113,1.3013744837033847,3.511295294973435,3.525997057377114,1.403218802323859,4.261537817207058,3.390419397896028,1.6248547534423352,4.002185962311759,2.755943237332943,0.6576994729430439,3.4829828181718123,3.342542012253361,0.7830532688666806,4.229402564270647,3.23131698340017,1.1075614046975613,3.967196384997302
