pair,lambda,beta,seed,block,domain,batch,images,selected,unselected,coverage,updated,confidence_mean,original_selected_proxy_pre,original_selected_proxy_post,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b0002,0.7,0.002,202,1,gaussian_noise,0,64,24,40,0.375,True,0.7447217702865601,1.9374676942825317,0.7075977325439453,2.957342479587193,1.937467885209572,3.569267236213766,3.4431843443131447,2.0684791129008873,4.268007483160498,4.623171563935127,2.8179923839305356,5.706279071937881,2.514912149735865,0.707597828933603,3.5993007422172227,2.6858482468504525,0.8704390014981854,3.775093794061813,5.5439029180103905,4.848588895516104,5.961091331506962
l07_b0002,0.7,0.002,202,1,gaussian_noise,1,64,22,42,0.34375,True,0.72768235206604,2.4282267093658447,2.0756912231445312,4.147599427716922,2.428227222545375,5.0482229637591605,4.246549460410547,2.533792602435429,5.143707814587988,6.545332260680733,4.487775886367462,7.623099885321018,4.089108148900965,2.075691059437561,5.143755195762749,4.109809446043448,2.140867364916279,5.141160059967204,5.505249829342761,3.7998049403482175,6.3985781045303805
l07_b0002,0.7,0.002,202,1,gaussian_noise,2,64,24,40,0.375,True,0.7549970746040344,4.751044750213623,4.184444904327393,5.430312406305918,4.751044853530597,5.83787293797111,5.642423176001645,4.756313979962027,6.174088693625416,6.852654195221136,6.5187732306642046,7.052982773955295,4.520029293918379,4.184445144728678,4.7213797834322,4.673607654336487,4.2203547873656415,4.945559374518995,5.239188134807955,5.465601658102976,5.103340020830943
l07_b0002,0.7,0.002,202,1,gaussian_noise,3,64,22,42,0.34375,True,0.7005219459533691,3.938443183898926,1.879188060760498,4.014860854612956,3.9384429908560943,4.054889259437979,4.2931841661998495,3.9162487947681837,4.490626503616437,4.872009959782766,3.816767412825421,5.424756055808042,2.959912359281153,1.8791881487758686,3.5260059933553487,3.067659877609138,1.8821363372847981,3.688648398731411,3.9922782587123233,2.7273817925598496,4.654843074315998
l07_b0002,0.7,0.002,202,1,gaussian_noise,4,64,22,42,0.34375,True,0.7440019845962524,3.0356619358062744,2.5272915363311768,3.5472162429872656,3.0356616315931997,3.815173420384157,3.582473124192868,3.068162416862583,3.851873970889683,4.538813084153295,3.876203211099814,4.885894446228927,3.255005461368338,2.527291579377302,3.6361889233636413,3.3378653851276328,2.5692237907386812,3.7404871726647024,4.445098020573706,3.652800851622145,4.860110823357855
l07_b0002,0.7,0.002,202,1,gaussian_noise,5,64,17,47,0.265625,True,0.7153407335281372,2.9778645038604736,2.3876636028289795,3.408721893875682,2.977864270470906,3.5645640129795364,3.531410315375032,2.9759349314909374,3.7323269435884274,4.1260152634303635,3.6149886682080448,4.310854670212904,3.1811678055129065,2.38766360227027,3.4681799641325832,3.3059730836737216,2.397029378372491,3.6347399558039544,4.045865601863717,3.245400815643454,4.3353954181561525
l07_b0002,0.7,0.002,202,1,gaussian_noise,6,64,20,44,0.3125,True,0.736612856388092,2.8394103050231934,2.569758892059326,3.40167240882941,2.83940990718069,3.6572462732151916,3.524277863875649,2.876588327803383,3.818682198453952,4.222912277619553,4.240809546243273,4.214777155517863,3.340063196851836,2.5697588282695545,3.690201546207419,3.4200572843359014,2.5814969382723945,3.8012210780011326,3.8801708821095167,3.5073929260543117,4.0496154075891555
l07_b0002,0.7,0.002,202,1,gaussian_noise,7,64,21,43,0.328125,True,0.704858660697937,2.441422462463379,1.5658516883850098,3.3717969242610915,2.441422310014834,3.826165921916241,3.4317481601389836,2.4834539595344087,3.894868583690055,4.000304876088578,3.9689159273791725,4.015634362667591,2.9764134876656057,1.565851736691553,3.6652924823273523,3.066822564760832,1.6462769304912814,3.7605774094041013,3.8168671177460523,3.5660751434151203,3.939346919163484
l07_b0002,0.7,0.002,202,1,gaussian_noise,8,64,17,47,0.265625,True,0.732168972492218,2.742476463317871,1.8817514181137085,3.633900591499029,2.7424767070693585,3.9563305071438033,3.7651733794219857,2.7739811210821124,4.123689728183217,4.205181153759683,3.4993161288114614,4.460494035123933,3.4541235433542137,1.8817514855410207,4.022853862137708,3.6089266919935414,1.935871134760492,4.214074446737409,4.415353767614576,3.4116048768377443,4.778411877044492
l07_b0002,0.7,0.002,202,1,gaussian_noise,9,64,17,47,0.265625,True,0.6863428354263306,3.2198116779327393,2.0895025730133057,3.824324772258872,3.219811611809777,4.0429784685915235,3.9033648073955334,3.2454507368748873,4.141333726520022,4.442559590769117,3.3862655976906177,4.824623375499638,3.5337918707804516,2.0895027265029644,4.056194327221245,3.688353310885926,2.137904394757048,4.249153982677222,4.862670562083996,3.697580487946187,5.284086120814693
