pair,lambda,beta,seed,parent,blocks,steps,images,selected,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b00015,0.7,0.0015,202,/scratch/yz54720/RSI2RSD/C4/parent15_o_20260924/results/l07_b00015/seed202_job48515079/parent,15,1410,90000,31545,2.4834202562160415,1.0826196998355586,3.239356507195811,2.9862245638241385,1.1716744368351384,3.965439066533368,3.0252255696410875,1.4130308951948571,3.8952397857972136,2.3025363947235133,0.6399044836006778,3.1997688579237575,2.8126993595727368,0.7426972289147041,3.929767483969411,2.8681181253679457,1.0434904538537015,3.8527709334753335
l07_b00015,0.7,0.0015,303,/scratch/yz54720/RSI2RSD/C4/parent15_o_20260924/results/l07_b00015/seed303_job48515225/parent,15,1410,90000,31626,2.4416954615096147,1.037845136098279,3.202276720142889,2.9575874971313207,1.1280904607384437,3.948776609971983,2.954135761376983,1.3392138482046936,3.8290718703636304,2.2661018767389733,0.6074322216112846,3.1647397379968596,2.7886955065881414,0.7117991618880972,3.913921185785786,2.7986393545519315,0.9773981182003069,3.7853556210551007
l07_b00015,0.7,0.0015,404,/scratch/yz54720/RSI2RSD/C4/parent15_o_20260924/results/l07_b00015/seed404_job48515427/parent,15,1410,90000,32170,2.437893597373552,1.0541745870454546,3.207636647040761,2.9422094138750707,1.1398667590638085,3.9448267959480035,2.9839685038290464,1.3697215763911001,3.8819509291390752,2.2583010461501174,0.6236771613374777,3.167618880741553,2.770958872563843,0.7230713231830094,3.9101693595702662,2.8323646608641857,1.0122673881789883,3.8448586823458206
l07_b00015,0.7,0.0015,505,/scratch/yz54720/RSI2RSD/C4/parent15_o_20260924/results/l07_b00015/seed505_job48515573/parent,15,1410,90000,32131,2.4353682262477556,1.0296653819929533,3.215866214613743,2.95423609919455,1.11826727735032,3.973633604157084,2.9627978517762315,1.3546989733448827,3.855673572159817,2.2584571902656014,0.6043371009217445,3.1768855818173347,2.784186304092371,0.7068741133245774,3.9375865356768145,2.80806647737594,1.0009200660251134,3.811460718560565
l07_b00015,0.7,0.0015,606,/scratch/yz54720/RSI2RSD/C4/parent15_o_20260924/results/l07_b00015/seed606_job48515078/parent,15,1410,90000,32137,2.446120219429834,1.0481144275742136,3.2225699737264373,2.946276990326882,1.1368009505580838,3.9512565366699737,3.0040148088134417,1.3653454621254775,3.914128643120531,2.2653785465601346,0.6102943615652029,3.184609150800884,2.7731364137045644,0.7135031212812358,3.9170528217478426,2.8494149084049543,1.0070715620560418,3.8726488942269026
