pair,lambda,beta,seed,block,domain,images,selected,coverage,student_audit_pre_ce,student_audit_post_ce,teacher_audit_pre_ce,teacher_audit_post_ce,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b0001,0.7,0.001,202,1,gaussian_noise,6000,1900,0.31666666666666665,5.527081489562988,4.1769866943359375,5.527081489562988,3.9527225494384766,3.4406077668117567,2.696962163693479,3.78522402191535,3.5957752198312254,2.730700875639404,3.9966633305542643,4.472106508222499,3.6289704738700093,4.862828085117554,3.1686997158515386,1.989334286775093,3.715234914691845,3.321686457252082,2.0403821165881877,3.9154616395109603,4.293234993708055,3.261020703415478,4.771578201404614
l07_b0001,0.7,0.001,202,2,shot_noise,6000,1591,0.26516666666666666,4.085951328277588,3.4189188480377197,3.5581283569335938,2.9591314792633057,3.1270447095632536,1.993904482686103,3.5359415344581393,3.416568600043074,2.0480433807165874,3.91040475879754,3.899770743041803,2.576008412767336,4.377454087897023,2.920696093365735,1.305053388557421,3.5037052889543103,3.2104797373245075,1.3804025633191674,3.8708682117727937,3.7229986850817527,2.09785309329836,4.309437024053713
l07_b0001,0.7,0.001,202,3,impulse_noise,6000,2657,0.44283333333333336,3.7012710571289062,2.15706729888916,1.6213734149932861,1.526340365409851,2.75927181424298,1.7455531828177657,3.5649704094259898,2.964212351653035,1.7906842001550476,3.8969267694006113,3.008744347048114,1.9664620409858105,3.837145210705769,2.495059333071858,1.231079582771445,3.49966423781257,2.708448587206324,1.2876096941333997,3.83772436910724,2.772097137342021,1.5105971454549159,3.7747311422609684
l07_b0001,0.7,0.001,202,4,defocus_blur,6000,3001,0.5001666666666666,2.4533917903900146,1.7897886037826538,1.0955007076263428,1.0651644468307495,1.9400659331858439,0.8644393662643401,3.0164098235931234,2.2896785568371754,0.9366417056452677,3.643617733371658,2.277829937788251,1.0206887840018393,3.5358094651350402,1.7397975506924028,0.49816254931729853,2.982260584745984,2.0988395238727735,0.5813966727490444,3.6172943408858806,2.0944768526880315,0.6938451109561693,3.4960426602696666
l07_b0001,0.7,0.001,202,5,glass_blur,6000,1762,0.2936666666666667,3.003369092941284,3.251805067062378,1.971874475479126,1.914035439491272,2.8048114885329305,1.4876866569417866,3.3524221429132015,3.2704856760620715,1.568054932873431,3.9782919454104415,3.2393744369983555,1.8439645711352488,3.8195330456936802,2.595873420361762,0.8753260643347511,3.311211891650009,3.067296646854168,0.975358766133187,3.937045241906164,3.0666560574498694,1.3504301881348142,3.7801978181230957
l07_b0001,0.7,0.001,202,6,motion_blur,6000,2939,0.48983333333333334,2.3108913898468018,1.7906858921051025,1.129001498222351,1.1104751825332642,1.8902880666163164,0.8018031967466436,2.935390004723789,2.256376640814677,0.8682462556120092,3.589181345849187,2.2351885555278237,1.0013390482760232,3.4198614407983388,1.7234668368392592,0.48220136163855104,2.9152601173406896,2.0965078873683916,0.5576038882658341,3.574076934530236,2.085780034292843,0.714200515789539,3.4026935282102606
l07_b0001,0.7,0.001,202,7,zoom_blur,6000,3074,0.5123333333333333,1.7665328979492188,1.6472480297088623,0.9992557764053345,0.9935636520385742,1.660507383087494,0.6307603116028965,2.7423400890832723,2.0711166056981978,0.7056248347841221,3.505676313076824,2.0909504052436287,0.8454948057921561,3.3994023918170475,1.511836416953993,0.3667488343658722,2.71484367220891,1.9272237289608198,0.4497960613064905,3.479381162443189,1.9572454692854595,0.6088786537886967,3.37381402391193
l07_b0001,0.7,0.001,202,8,snow,6000,2204,0.36733333333333335,2.6277880668640137,2.3602161407470703,1.4584726095199585,1.4380155801773071,2.0787923023128547,0.6868737164308533,2.886955780522531,2.7177629678725412,0.7981193655600839,3.832329485126664,2.4566011205761673,0.9318372458880513,3.341896057302354,1.9457428252954636,0.3459445713415173,2.874603560731317,2.5923417765846914,0.46989570155210064,3.8246576747332255,2.334275565654474,0.6252704160074356,3.3265430445327877
l07_b0001,0.7,0.001,202,9,frost,6000,2133,0.3555,3.0397591590881348,3.5915884971618652,1.718736171722412,1.704780101776123,2.0925260074667715,0.6834534354118704,2.8697568831308784,2.76854415447677,0.8034363205946687,3.8524787315831914,2.581880567997787,1.0820893123562787,3.4091509968271985,1.9565453302182219,0.3425322291603289,2.84681943018111,2.640226717042707,0.4766019288549767,3.833661336438732,2.467705301776245,0.8144406438277323,3.379630182925503
l07_b0001,0.7,0.001,202,10,fog,6000,1951,0.32516666666666666,2.9909651279449463,2.3684024810791016,1.6728999614715576,1.6114200353622437,2.4785878518261266,0.8494435984928417,3.2635867251907213,3.0694531889807193,0.9749553261914603,4.07868147505181,2.815902087876443,1.1334485466878639,3.626587901375806,2.3116364391697846,0.4087559599354104,3.228534392982149,2.9099014909695926,0.5512792972605408,4.0463973911736835,2.668686664336233,0.7646980436251628,3.5861185732044225
