pair,lambda,beta,seed,block,domain,images,selected,coverage,student_audit_pre_ce,student_audit_post_ce,teacher_audit_pre_ce,teacher_audit_post_ce,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b00005,0.7,0.0005,202,1,gaussian_noise,6000,2005,0.33416666666666667,5.527081489562988,3.8685638904571533,5.527081489562988,4.596292495727539,3.3932528108408295,2.7386547921435547,3.721780727608801,3.5458904124483825,2.7694078523446186,3.93558941945916,4.539294932949381,3.777561153126455,4.921591861245994,3.1207528452289086,2.0579054588932872,3.654171871412369,3.2724708553194475,2.105109479336301,3.8583430853185,4.362249801343567,3.4356074488108783,4.827310606557095
l07_b00005,0.7,0.0005,202,2,shot_noise,6000,1868,0.31133333333333335,3.8172783851623535,4.078019618988037,4.120506286621094,3.625244140625,2.9663864287532857,1.9584438622716538,3.4220584312188422,3.178910909271969,2.0025781059721943,3.710708991693067,3.7918103858640375,2.773218191899156,4.2522968859430295,2.753384391102262,1.3506671584220096,3.3875266444049514,2.973460441416127,1.4116754192257306,3.679514270421854,3.6417756633163485,2.3889112836319173,4.208172241547352
l07_b00005,0.7,0.0005,202,3,impulse_noise,6000,3020,0.5033333333333333,4.100965976715088,2.114314079284668,1.7025467157363892,1.5885258913040161,2.6999661338078744,1.840846191498336,3.57061788742358,2.853387974675262,1.872460916627355,3.847481838871459,2.875266176950217,2.0238745474604705,3.738085882003583,2.407768141208424,1.3355184954832973,3.494410399627848,2.5721999611918647,1.3772157698280636,3.7832242088155836,2.6232972417353633,1.5992072771983137,3.6611333802930437
l07_b00005,0.7,0.0005,202,4,defocus_blur,6000,3173,0.5288333333333334,2.172128677368164,1.7878024578094482,1.0864946842193604,1.0688437223434448,1.9659457305590755,1.0245197968104305,3.022593939892098,2.258484653253737,1.081888555468608,3.5790857916591894,2.226810191752558,1.177073540158919,3.405025400633569,1.7447362605736563,0.6329962158394709,2.9925435339877247,2.045589730898803,0.7006568903173465,3.5551305526762906,2.0341324879418106,0.8361727547426353,3.37871198332242
l07_b00005,0.7,0.0005,202,5,glass_blur,6000,2031,0.3385,3.253065824508667,3.249070644378662,2.2397923469543457,2.1634316444396973,2.8620186369803706,1.6484685925953813,3.4830113656641486,3.197306326637678,1.7214816650974878,3.952509120184698,3.2234526130957395,2.0879807497899656,3.804491503086675,2.6271916186421476,1.043010501293139,3.4378421223800726,2.9734936089216735,1.1345762029628612,3.9144966957199485,3.0536396553485123,1.64754713275785,3.7731594118064686
l07_b00005,0.7,0.0005,202,6,motion_blur,6000,3091,0.5151666666666667,2.1481099128723145,1.7780693769454956,1.125974416732788,1.1044085025787354,1.9323968597748737,0.8662540545809404,3.065242308676369,2.2394077383119813,0.930423036327914,3.6302883549612615,2.2085428578203654,1.0702466437845586,3.4180559542743625,1.7544604719889205,0.5400685496720187,3.0448301632510537,2.0685929015582665,0.6128760568844804,3.615385877456057,2.0512437258644045,0.7832580793366645,3.3985602034915083
l07_b00005,0.7,0.0005,202,7,zoom_blur,6000,3203,0.5338333333333334,1.7968586683273315,1.7677888870239258,1.0022588968276978,0.9932875037193298,1.7169404961054178,0.6961189340672054,2.885939946662584,2.07803260255384,0.7670292275766477,3.5793353590972634,2.0441780791377613,0.915992405259167,3.3361261354241902,1.5494706017805708,0.4120719326163307,2.851968970508873,1.919980911534279,0.49175204444234794,3.555525087900191,1.8999281683115572,0.6656400707096358,3.313380001210721
l07_b00005,0.7,0.0005,202,8,snow,6000,2255,0.37583333333333335,2.4718964099884033,2.4808237552642822,1.417765736579895,1.3941010236740112,2.1894522750191516,0.8261306512141863,3.010357551836295,2.764798792875259,0.9361771018161663,3.865878075475594,2.397358543202371,1.0341211369710495,3.2182131095712996,2.02767479526031,0.42730764017907313,2.991313763139665,2.6100836909077674,0.5509684869200777,3.849951457260838,2.2524186765411534,0.6797793266079115,3.19936172970523
l07_b00005,0.7,0.0005,202,9,frost,6000,2147,0.35783333333333334,2.934861660003662,3.5044264793395996,1.7058792114257812,1.6786699295043945,2.2855589911526706,0.8720251341274651,3.0732198245378535,2.873897158205353,0.9824078852358766,3.927888196114895,2.5492028198473795,1.1829810399883303,3.3105000327613103,2.1359033347472316,0.490855083659515,3.052570501911863,2.7296538109811803,0.6157819882536333,3.907562662109141,2.4186134613072183,0.8787975654576735,3.276642199534307
l07_b00005,0.7,0.0005,202,10,fog,6000,1994,0.3323333333333333,3.215494155883789,2.21022891998291,1.7739895582199097,1.7050185203552246,2.7166844483000245,1.0858633970225915,3.5284311223507494,3.205779612100765,1.192629530049452,4.2078318496470235,2.8391525726944855,1.351696631274512,3.5795387801811116,2.5301670970385004,0.5937407287154471,3.494029847521818,3.0274316240720913,0.7173332545082186,4.177290872427146,2.6766918841560723,0.9494909852931014,3.536411952137292
