pair,lambda,beta,seed,parent,blocks,steps,images,selected,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b0001,0.7,0.001,202,/scratch/yz54720/RSI2RSD/C4/sweep_yingchuan_20260923/results/l07_b0001/seed202_job48508656/parent,15,1410,90000,33615,2.387906599821908,1.0715682423693593,3.172666977329525,2.875243438461428,1.1566978198521245,3.8997873946474995,2.880520018718101,1.3917176492569232,3.7680981272476264,2.2085244498424035,0.6491124875303472,3.1381978224258873,2.702325614632739,0.747454973197543,3.867759269183501,2.727292468791401,1.045259752908414,3.7300685571909105
l07_b0001,0.7,0.001,303,/scratch/yz54720/RSI2RSD/C4/sweep_yingchuan_20260923/results/l07_b0001/seed303_job48508657/parent,15,1410,90000,33562,2.3993629967723873,1.03533734626302,3.2105084817717633,2.8885605362268776,1.121652442896227,3.9392882272925362,2.8639401525945276,1.3410538875589897,3.769555320161099,2.214043459072667,0.6116084359870037,3.166963907082893,2.7113526433764603,0.7117501655155325,3.9004567640392867,2.7057927993602555,0.9947999309746791,3.723269369202502
l07_b0001,0.7,0.001,404,/scratch/yz54720/RSI2RSD/C4/sweep_yingchuan_20260923/results/l07_b0001/seed404_job48508658/parent,15,1410,90000,34179,2.3926306475854706,1.0787571005177587,3.197110753015822,2.8522176964050736,1.1602101930166084,3.888227879997522,2.8859417374094827,1.400091695371606,3.795722439776208,2.2044536282318834,0.6486038612587751,3.1570949135075566,2.6714042006936256,0.7437638554850784,3.8516915362641617,2.7294404335446334,1.0537351456300106,3.7554688285148643
l07_b0001,0.7,0.001,505,/scratch/yz54720/RSI2RSD/C4/sweep_yingchuan_20260923/results/l07_b0001/seed505_job48509898/parent,15,1410,90000,33601,2.449436687812257,1.081393590246931,3.2644797935640004,2.9180599363586626,1.1642654926989533,3.9629232690668648,2.9313429968900246,1.4176451205728222,3.8331632834577745,2.259687408287579,0.6526080470668643,3.217141859898026,2.7373434681480355,0.7488572935876208,3.922029791512005,2.7708799312877654,1.0670010404438262,3.7860049266112212
l07_b0001,0.7,0.001,606,/scratch/yz54720/RSI2RSD/C4/sweep_yingchuan_20260923/results/l07_b0001/seed606_job48508655/parent,15,1410,90000,33118,2.4292498578046597,1.1042960449170036,3.2006682392823502,2.9171899331216236,1.189658663580753,3.922998107669885,2.9275825639209354,1.4255363174504896,3.8021082063141125,2.2443851693631247,0.6713855211331351,3.1602215033542076,2.74125065671295,0.7706973551361235,3.8885518107093135,2.771951400647958,1.0743688373724383,3.7603227541615283
